Question_EN,Question_TL,Answer,Source,Category
"What challenges does the Quezon City Mayor face as she starts her renewed term, and what support does the City Council provide to help address these challenges?","Anong mga hamon ang kinakaharap ng Mayor ng Quezon City sa pagsisimula ng kanyang muling termino, at ano ang suporta na ibinibigay ng Konseho ng Lungsod upang matugunan ang mga ito?","As the Quezon City Mayor begins her renewed term, she faces challenges such as increasing COVID-19 cases, worsening inflation due to high fuel prices, transitions in national government power, and global geopolitical uncertainty. To help address these challenges, the City Council expresses its support for the Mayor, acknowledging her previous leadership through the COVID-19 pandemic and reinforcing her efforts to steer the city towards prosperity and progress amidst current turmoil.","SP-9010, S-2022",Preamble
What are the potential penalties for street vendors who are found vending without a hawker's permit in Quezon City?,Ano ang posibleng parusa para sa mga nagtitinda sa kalsada na hindi rehistrado o walang hawker's permit sa Lungsod Quezon?,"Street vendors found vending without a hawker's permit in no vending zone areas will face penalties: a fine of Three Hundred Pesos (Php300.00) for the first offense, a fine of Five Hundred Pesos (Php500.00) for the second offense, and a fine of One Thousand Pesos (Php1,000.00) and/or imprisonment of not more than thirty (30) days for the third offense, or both at the discretion of the court.","SP-3116, S-2022",Operative
"What are the penalties for establishments in Quezon City that fail to designate courtesy seats for persons with disabilities, pregnant women, and senior citizens?","Ano ang mga parusa para sa mga establisyemento sa Lungsod Quezon na hindi magtatalaga ng mga courtesy seat para sa mga taong may kapansanan, buntis na kababaihan, at mga nakatatanda?","The penalties for establishments that fail to designate courtesy seats are as follows: for the first offense, a notice of violation or warning; for the second offense, a fine of Five Thousand Pesos (P5,000.00) and/or suspension of the business permit for six months; for the third offense, a fine of Five Thousand Pesos (P5,000.00) and/or revocation of the business permit. Government institutions within Quezon City will receive a notice or warning from relevant offices if they fail to designate courtesy seats.","SP-2804, S-2018",Operative
What are the consequences for non-fully vaccinated individuals using public transportation for non-essential travel in Quezon City?,Ano ang mga magiging parusa para sa mga hindi ganap na nabakunahan na gumagamit ng pampublikong transportasyon para sa hindi esensyal na paglalakbay sa Lungsod Quezon?,"Non-fully vaccinated individuals in Quezon City are restricted from using public transportation for non-essential travel. They are only allowed to use public transportation for procuring essential goods and services such as food, medicine, and work, subject to the production of proof to justify such travel.","SP-3076, S-2021",Operative
What are the consequences for multiple violations of the updated ordinance on vandalism?,Ano ang mga parusa para sa paulit-ulit na paglabag sa binagong ordinansa laban sa pandarambong?,"The updated ordinance imposes fines that increase with repeated offenses: Php1,000 for the first offense, Php2,000 for the second offense, and Php3,000 for the third offense. Additionally, the offender is also responsible for the expenses incurred for restoring any defaced or vandalized surfaces.","SP-3163, S-2022",Operative
What is the implication of Quezon City government purchasing land from the Department of Finance for its housing program?,Ano ang kahulugan ng pagbili ng lupa ng pamahalaang lungsod ng Quezon mula sa Department of Finance para sa programang pabahay nito?,"The implication of Quezon City government purchasing land from the Department of Finance is that it allows the city to develop the land for its housing program. This program entails the construction of housing units which will be retained and leased to qualified beneficiaries at affordable prices. This initiative aligns with urban land reform policies and aims to address housing needs in the city. Moreover, it gives the city flexibility to change the use of the land in the future, if necessary.","SP-8633, S-2021",Preamble
What are the consequences for tricycle operators who provide services without a valid franchise in Quezon City?,Ano ang mga magiging kaparusahan para sa mga operator ng traysikel na naglilingkod nang walang balidong prangkisa sa Lungsod ng Quezon?,"Tricycle operators providing services without a valid franchise, known as ""colorum operation,"" face penalties including the impounding of their tricycle units. If the tricycles have been impounded for one year or more from the date of apprehension prior to the enactment of the ordinance, their sidecars are subject to mandatory removal and the tricycles will be auctioned off in a public auction.","SP-2514, S-2016",Operative
"Why is it necessary to amend Ordinance No. SP-3063, S-2021 to update the committee names under the 22nd Quezon City Council?","Bakit kinakailangan baguhin ang Ordinansa Blg. SP-3063, S-2021 upang i-update ang mga pangalan ng komite sa ilalim ng Ika-22 Quezon City Council?","It is necessary to amend Ordinance No. SP-3063, S-2021 to update the committee names under the 22nd Quezon City Council because new committees have been created, some committees have been merged or separated, and the names of some existing committees have been updated. This ensures that the ordinance accurately reflects the current structure and names of the committees as laid out in the updated Internal Rules of Procedure.","SP-3139, S-2022",Preamble
What is the purpose of establishing at least one super health center in every district of Quezon City?,Ano ang layunin ng pagtatag ng hindi bababa sa isang super health center sa bawat distrito ng Lungsod Quezon?,"The purpose of establishing at least one super health center in every district of Quezon City is to provide the citizens with free and accessible basic health services to address the high healthcare costs and economic challenges exacerbated by the COVID-19 pandemic, especially considering that Quezon City is the most populated city in the Philippines.",SP-3176 S-2023,Preamble
What is the primary goal of the Safe Philippines Project - Phase 1 as described in the document?,Ano ang pangunahing layunin ng Safe Philippines Project - Phase 1 ayon sa dokumento?,"The primary goal of the Safe Philippines Project - Phase 1 is to introduce a smart solution and system integration to combat crime, improve emergency management, and enhance disaster mitigation, ultimately aiming to make people safe.","SP-8063, S-2019",Preamble
What financial benefits are provided to centenarians living in Quezon City under this ordinance?,Anong mga pinansyal na benepisyo ang ibinibigay sa mga sentenaryong residente ng Lungsod Quezon sa ilalim ng ordinansang ito?,"Under this ordinance, centenarians living in Quezon City are bestowed with the title of ""Centenarian Citizens"" and are granted an additional cash incentive of Fifty Thousand Pesos (P50,000.00). This is an increase from the previous incentive of Ten Thousand Pesos (P10,000.00), as part of the city's effort to recognize and reward its senior citizens.","SP-2370, S-2014",Introduction
What are the implications of authorizing a Certificate of Exception for the construction of the hospital according to this resolution?,Ano ang mga magiging implikasyon ng pag-apruba ng Sertipiko ng Eksepsyon para sa pagtatayo ng ospital ayon sa resolusyong ito?,"The implication of authorizing a Certificate of Exception for the construction of the hospital is that Dra. Leticia M. Yao is allowed to proceed with the project despite it deviating from the restrictions set forth in the Comprehensive Zoning Ordinance of 2016. This authorization indicates that the Quezon City Council has determined that the project will not negatively affect public health, safety, and welfare, and that it aligns with the community's development pattern.","SP-8566, S-2021",Operative
What is the significance of Quezon City Government's commendation of the Philippine Women's National Football Team?,Ano ang kahalagahan ng pagkilala ng Pamahalaang Lungsod ng Quezon sa Pambansang Koponan ng Futbol ng Pilipinas para sa Kababaihan?,"The commendation by the Quezon City Government is significant because it acknowledges and honors the achievements of the Philippine Women's National Football Team, recognizing their hard work, perseverance, and sportsmanship. This act of recognition not only celebrates their accomplishments in international competitions, such as qualifying for the 2023 FIFA Women's World Cup and winning the AFF Championship but also serves as an inspiration and source of pride for the Filipino people.","SP-9013, S-2022",Operative
What is the presumed benefit for students in Quezon City schools if they are allowed to wear long sleeve shirts and jogging pants or long pants?,Ano ang inaasahang benepisyo para sa mga estudyante sa mga paaralan sa Lungsod Quezon kung sila ay papayagang magsuot ng long sleeve na damit at jogging pants o mahabang pantalon?,"The presumed benefit for students in Quezon City schools is increased protection against dengue, as wearing long sleeve shirts and long pants can help prevent mosquito bites, which are the primary means of transmitting the dengue virus.","SP-7903, S-2019",Preamble
What is the purpose of providing free anti-shingles vaccination to senior citizens in Quezon City?,Ano ang layunin ng pagbibigay ng libreng bakuna laban sa shingles sa mga senior citizen sa Lungsod ng Quezon?,"The purpose of providing free anti-shingles vaccination to senior citizens in Quezon City is to protect them from the harmful risks of the varicella-zoster virus by offering earlier prevention. This ordinance aims to reduce the incidence and complications of shingles among the elderly population, who are particularly vulnerable to this viral infection and its serious health consequences.","SP-2760, S-2018",Operative
What might be the benefit of transferring vehicle ownership to the Office of Councilor Eric Z. Medina without cost?,Ano ang maaaring benepisyo ng paglipat ng pagmamay-ari ng sasakyan sa Tanggapan ni Konsehal Eric Z. Medina ng walang bayad?,"The benefit of transferring vehicle ownership to the Office of Councilor Eric Z. Medina without cost includes saving a significant amount of funds that would otherwise be spent on annual insurance coverage and renewal registration. It also facilitates the monitoring and accelerates the delivery of services, improving the office's ability to conduct official business and serve constituents effectively.","SP-8995, S-2022",Introduction
What are the potential benefits for the informal settler families involved in the Community Mortgage Program project if the subdivision plan is approved?,Ano ang mga posibleng benepisyo para sa mga pamilyang informal settler na kasali sa Community Mortgage Program project kung maaprubahan ang subdivision plan?,"The approval of the subdivision plan would allow the informal settler families, who are members of the Kabalikat ng Barangay Homeowners Association, to have their lots individually titled in their names. This is a step towards securing legal homeownership, providing them with security of tenure and potentially improving their economic stability and quality of life.","SP-3099, S-2022",Preamble
What does the issuance of a Certificate of Exception allow Marites Ong to do regarding the construction project in Quezon City?,Ano ang pinapahintulutan ng pag-isyu ng Certificate of Exception kay Marites Ong para sa proyekto ng konstruksyon sa Quezon City?,"The issuance of a Certificate of Exception allows Marites Ong to construct a Three (3)-Storey Storage Building with Mezzanine and Office Employees' Quarters and Parking, as built, by deviating from the restrictions under the Comprehensive Zoning Ordinance of 2016, as long as it does not adversely affect public health, safety, and welfare.",SP-8981-S-2022,Introduction
"What are the specific roles and duties assigned to the personnel within the Quezon City General Hospital Drug Testing Laboratory, and how do these roles ensure the laboratory's compliance and effective operation?","Ano ang mga tiyak na tungkulin at gawain na nakatalaga sa mga tauhan sa Quezon City General Hospital Drug Testing Laboratory, at paano nito sinisiguro ang pagsunod at epektibong operasyon ng laboratoryo?","The Quezon City General Hospital Drug Testing Laboratory is composed of personnel with specific roles to ensure its compliance and effective operation. Medical Technologists II are responsible for verifying the completeness of the Custody and Control Form, preparing and analyzing specimens, releasing laboratory results, and assisting in evaluating laboratory supplies and equipment. Laboratory Technicians II ensure the security of specimens, verify the identity of clients, maintain laboratory supplies, and handle specimen collections. The Administrative Aide IV collects and encodes client data and ensures the accuracy of information in IDTOMIS. These roles collectively help maintain the integrity of the drug testing process, adhere to health and safety guidelines, and ensure efficient laboratory operations.","SP-3260, S-2024",Operative
What is the significance of extending the deadline for property owners to report to the City Assessor from 60 days to six months?,Ano ang kahalagahan ng pagpapalawig ng palugit para sa mga may-ari ng ari-arian na mag-ulat sa City Assessor mula 60 araw hanggang anim na buwan?,"The extension of the deadline for property owners to report to the City Assessor from 60 days to six months provides additional time for compliance, which can help property owners avoid penalties for late filing. This extension acknowledges the difficulties faced during the COVID-19 pandemic, such as travel restrictions and financial challenges, and aims to ease the burden on property owners while ensuring accurate property records for the city.","SP-3098, S-2022",Operative
What are the responsibilities of the Barangay Chief in Quezon City regarding the monitoring and reporting of unregulated E-Sabong operations?,Ano ang mga responsibilidad ng Punong Barangay sa Quezon City ukol sa pagmamanman at pag-uulat ng mga hindi reguladong operasyon ng E-Sabong?,"The Punong Barangay is responsible for conducting surveillance on the operation of unregulated E-Sabong within their territorial jurisdiction and must immediately report such operations to the Business Permits and Licensing Department (BPLD) or the Quezon City Police Department (QCPD) upon discovery or receipt of reliable information. Failure to report these operations, which are later monitored and apprehended by the BPLD and QCPD, may result in the barangay chief being held administratively liable unless there is a justifiable reason.","SP-3185, S-2023",Operative
What is the purpose of including local barangay officials as Barangay Environmental Enforcers in the ordinance?,Ano ang layunin ng pagsasama ng mga lokal na opisyal ng barangay bilang Barangay Environmental Enforcers sa ordinansa?,"The purpose of including local barangay officials as Barangay Environmental Enforcers is to ensure effective monitoring, enforcement, and implementation of the Environmental Protection and Waste Management Code across Quezon City's vast area. By deputizing barangay officials, the ordinance aims to enhance participation and provide incentives for effective environmental enforcement, thereby contributing to the goal of a livable and sustainable city.","SP-2522, S-2016",Preamble
What are the consequences if a trainee commits infractions during the training program under this ordinance?,Ano ang magiging parusa kung ang isang trainee ay lumabag sa patakaran habang nasa programa ng pagsasanay sa ilalim ng ordinansang ito?,"If a trainee commits infractions of the ordinance or its Implementing Guidelines, the city government, through the Public Employment Services Office (PESO), retains the right to terminate and suspend the training tuition and allowance grants given to the beneficiaries.","SP-3108, S-2022",Operative
"What is the reason for extending the deadline for real property tax payment in Quezon City to April 30, 2021?","Ano ang dahilan sa pagpapalawig ng deadline para sa pagbabayad ng buwis sa ari-arian sa Quezon City hanggang Abril 30, 2021?","The deadline for real property tax payment was extended to April 30, 2021, due to the economic and physical challenges faced by taxpayers amid the Enhanced Community Quarantine and Modified Enhanced Community Quarantine measures. The reduced capacity of the City Treasurer's Office, as many personnel were engaged in distributing government-mandated financial assistance, also contributed to the need for an extension.","SP-3021, S-2021",Introduction
What are the main restrictions imposed by the amended ordinance on trucks traveling on certain city streets in Quezon City?,Ano ang mga pangunahing pagbabawal na ipinataw ng binagong ordinansa sa mga trak na bumibiyahe sa ilang lansangan ng lungsod sa Quezon City?,"The amended ordinance restricts cargo trucks, gravel and sand trucks, and other heavy cargo trucks with eight wheels or more, or whose gross vehicle weights exceed 4,500 kilograms, from traveling on city/municipal streets with no more than two lanes, except for specified truck routes. These routes can only be used from 6:00 a.m. to 9:00 a.m. and from 5:00 p.m. to 9:00 p.m. Additionally, the City/Municipal Mayor, upon recommendation from the Traffic and Parking Management Office, may restrict access for cargo trucks and heavy vehicles to other streets as necessary to ensure orderly traffic flow.","SP-1772, S-2007",Operative
What are the penalties for individuals or entities who make false claims to receive financial assistance under this ordinance?,Ano ang mga parusa para sa mga indibidwal o entidad na gumagawa ng maling pahayag upang makatanggap ng tulong pinansyal sa ilalim ng ordinansang ito?,"Individuals who knowingly and willfully make false statements or assist others in making false claims to collect benefits under this ordinance will face a fine of Five Thousand Pesos (Php5,000.00) and imprisonment for up to one year. If the offense is committed by a juridical person, the officers and board of directors will face the same fine, and the establishment's business permit may be suspended or revoked. Violations by government officials or employees can also lead to the filing of appropriate cases according to relevant laws and policies.","SP-3029, S-2021",Operative
"What is the intended purpose of establishing a national headquarters for Pugad Lawin Philippines, Inc. near the Pugad Lawin Shrine in Quezon City?","Ano ang layunin ng pagtatayo ng pambansang punong-tanggapan para sa Pugad Lawin Philippines, Inc. malapit sa Pugad Lawin Shrine sa Lungsod Quezon?","The intended purpose of establishing a national headquarters for Pugad Lawin Philippines, Inc. near the Pugad Lawin Shrine is to provide a dedicated space for the organization to further its mission of creating skills and livelihood opportunities for the young and less fortunate, assisting in disaster relief efforts, and fostering patriotism and good citizenship among Filipinos.","SP-7117, S-2017",Introduction
"What financial assistance is provided to volunteer medical staff at COVID-19 vaccination sites in Quezon City, and how is the amount determined?","Anong uri ng pinansyal na tulong ang ibinibigay sa boluntaryong medical staff sa mga site ng pagbabakuna kontra COVID-19 sa Lungsod ng Quezon, at paano itinatakda ang halaga nito?","The City of Quezon provides a daily allowance to its volunteer medical staff serving at the city's COVID-19 vaccination sites. This allowance covers food, travel, and subsistence expenses and can be up to PhP2,500.00 per day, depending on the professional qualifications of the volunteer. The City Mayor has the authority to adjust these rates, provided they do not exceed the maximum daily rate.","SP-3024, S-2021",Operative
"What is the significance of the Quezon City Government receiving an ""unqualified opinion"" from the Commission on Audit (COA), and how does it relate to granting additional incentives to its employees?","Ano ang kahalagahan ng pagtanggap ng Pamahalaang Lungsod ng Quezon ng ""unqualified opinion"" mula sa Komisyon ng Pagsusuri (COA), at paano ito nauugnay sa pagbibigay ng karagdagang insentibo sa mga empleyado nito?","The ""unqualified opinion"" from the Commission on Audit (COA) signifies that the Quezon City Government's financial statements are fairly and accurately presented without any reservations. This recognition of sound financial management in 2021 and the subsequent year provides a context for offering additional incentives to employees as the City Government aims to reward its workforce amidst rising prices and the challenges presented by the COVID-19 pandemic.","SP-3138, S-2022",Preamble
What are the potential benefits of transferring ownership of the vehicle to the Parks Development and Administration Department without cost?,Ano ang mga potensyal na benepisyo ng paglilipat ng pagmamay-ari ng sasakyan sa Parks Development and Administration Department nang walang bayad?,"By transferring ownership of the vehicle without cost, the Parks Development and Administration Department can save significant funds that would have otherwise been spent on annual insurance coverage and registration renewal. This enables the department to allocate resources more effectively towards maintaining and developing parks and open spaces in Quezon City.","SP-8992, S-2022",Preamble
How does the ordinance address the taxation of businesses dealing with essential commodities?,Paano tinutugunan ng ordinansa ang pagbubuwis sa mga negosyong may kinalaman sa mahahalagang kalakal?,"The ordinance specifies that businesses involved in the export, manufacture, milling, production, wholesale, distribution, and retail of essential commodities will be subject to a tax rate that is one-half of the rates prescribed for other business categories. It requires these businesses to maintain separate books of accounts for essential and non-essential items. If the sales are not separately or segregated in their books of accounts, the sales will be treated as sales for non-essential commodities.","SP-1189, S-2002",Operative
What is the role of the Quezon City Appraisal Committee in the disposition of the Sitio Militar Lot under this resolution?,Ano ang papel ng Quezon City Appraisal Committee sa pagpapamahagi ng Sitio Militar Lot ayon sa resolusyong ito?,The Quezon City Appraisal Committee is responsible for determining the selling price of the Sitio Militar Lot before it is awarded to the qualified beneficiaries through the direct sale program.,"SP-8964, S-2022",Operative
What is the purpose of granting hazard pay to barangay personnel during the ECQ and MECQ periods?,Ano ang layunin ng pagbibigay ng hazard pay sa mga tauhan ng barangay sa panahon ng ECQ at MECQ?,The purpose of granting hazard pay to barangay personnel during the ECQ and MECQ periods is to compensate them for the increased health risks and challenges they face as frontliners in maintaining peace and order during the COVID-19 pandemic. This financial incentive recognizes their essential role in ensuring community safety and encourages them to perform their duties despite the ongoing public health emergency.,"SP-3026, S-2021",Introduction
What is the impact of extending the deadline for the payment of the 1st and 2nd Quarter Business Taxes without surcharge or interest?,Ano ang epekto ng pagpapalawig sa deadline para sa pagbabayad ng Unang at Ikalawang Kawarter na Buwis sa Negosyo nang walang karagdagang singil o interes?,Extending the deadline for the payment of the 1st and 2nd Quarter Business Taxes without surcharge or interest provides financial relief to business owners by giving them more time to settle their tax obligations without the additional burden of penalties. This extension helps businesses manage their cash flow better during a time of financial difficulty caused by the pandemic.,"SP-3020, S-2021",Operative
What are the limitations on the free initial parking rate exemption for Persons with Disabilities (PWDs) in Quezon City as described in the ordinance?,Ano ang mga limitasyon sa libreng unang bayad sa paradahan para sa mga Taong may Kapansanan (PWD) sa Lungsod ng Quezon ayon sa ordinansa?,"The free initial parking rate exemption for PWDs in Quezon City does not apply to overnight parking, except in extraordinary circumstances such as emergency confinement in a hospital, civil disturbance, force majeure, or other conditions affecting mobility or posing danger. Additionally, the free parking may be limited to availability and is only applicable to slots open to the public on a first-come-first-served basis. Charges apply for parking exceeding initial hours or in case of a flat rate if parking exceeds four hours.","SP-3234, S-2023",Operative
What are the consequences if someone installs outdoor media on Quezon City Government property without following the regulations outlined in the ordinance?,Ano ang mga magiging konsekwensya kung may naglagay ng outdoor media sa pag-aari ng Pamahalaang Lungsod ng Quezon City na hindi sumusunod sa mga alituntunin ng ordinansa?,"If someone installs outdoor media in violation of the ordinance, they may face a fine of Five Thousand Pesos (Php5,000.00) or imprisonment for not more than six (6) months, or both, at the court's discretion. Additionally, their business permit and other relevant permits may be revoked. The city also has the authority to remove the illegal media and charge 150% of the regular rental rate for the duration the media was illegally displayed.","SP-3044, S-2021",Operative
What is the effect of extending the validity of business permits and ancillary clearances as described in the ordinance?,Ano ang epekto ng pagpapalawig ng bisa ng mga permit sa negosyo at iba pang kaugnay na klarensiya ayon sa ipinapahayag sa ordinansa?,"The extension of the validity of business permits and ancillary clearances allows businesses to continue operating without needing to immediately renew their permits by payment of taxes for the recently ended quarter, aligning the permit expiration dates with extended tax payment deadlines. This helps ensure that businesses can fully benefit from the tax payment extensions without facing disruptions.","SP-3084, S-2021",Operative
What is the significance of Quezon City Council's resolution to honor Agatha Wong for her achievements in the SEA Games?,Ano ang kahalagahan ng resolusyon ng Konseho ng Lungsod ng Quezon na parangalan si Agatha Wong para sa kanyang mga nakamit sa SEA Games?,"The resolution signifies the City's efforts to recognize and honor the hard work, dedication, and success of local athletes like Agatha Wong. It reflects the City's support and pride in its athletes who excel in international competitions, thereby encouraging sports development and cultural pride within the community.","SP-8121, S-2020",Operative
What are the potential consequences for business owners if they conduct illegal business activities within the designated Discipline Zones in Quezon City?,Ano ang mga posibleng kahihinatnan para sa mga negosyante kung sila ay nagsasagawa ng ilegal na aktibidad pang-negosyo sa loob ng mga itinalagang Discipline Zones sa Quezon City?,"If a business owner or hawker is found conducting illegal business activities within the designated Discipline Zones, their business/hawker's permit may be cancelled. Additionally, appropriate charges and penalties may be filed or imposed on the business owner/operator as provided by law or ordinance.",SP-3165 S-2022,Operative
"What is the significance of complying with Ordinance No. SP-56, S-93, Presidential Decree No. 957, and Ordinance No. SP-2771, Section 4.1 Balance Housing for the Isidora Townhouse Project?","Ano ang kahalagahan ng pagsunod sa Ordinansa Blg. SP-56, S-93, Presidential Decree No. 957, at Ordinansa Blg. SP-2771, Seksyon 4.1 Balance Housing para sa Proyektong Isidora Townhouse?","Complying with these ordinances and decrees ensures that the Isidora Townhouse Project meets the legal, safety, and regulatory standards required for subdivision developments in Quezon City. This compliance helps protect the rights and interests of future buyers, ensures the project's alignment with city planning requirements, and guarantees the provision of balanced housing development as mandated by local laws.","SP-3004, S-2021",Operative
What is the purpose of authorizing the City Mayor to accept donations for the construction and rehabilitation of handwashing and drinking facilities?,Ano ang layunin ng pagbibigay awtorisasyon sa Punong Lungsod na tumanggap ng donasyon para sa pagtatayo at rehabilitasyon ng mga pasilidad para sa paghuhugas ng kamay at pag-inom ng tubig?,"The purpose of authorizing the City Mayor to accept donations is to facilitate the construction and installation of new handwashing and drinking facilities, as well as the rehabilitation of existing handwashing facilities within the Quezon City Hall Compound. This aims to provide access to clean and potable water, thereby promoting proper sanitation for the community, especially during the time of the COVID-19 pandemic.","SP-8564, S-2021",Operative
"What are the requirements for business owners to benefit from the waiver of penalties, surcharges, and interests on unpaid business taxes for 2021 and prior years?","Ano ang mga kinakailangan para sa mga may-ari ng negosyo upang makinabang sa pagsasawalang-bahala ng mga multa, dagdag-bayad, at interes sa mga hindi pa nababayarang buwis sa negosyo para sa 2021 at mga nakaraang taon?","To benefit from the waiver, business owners must update their unpaid business taxes by paying all dues for 2021 and prior years no later than December 31, 2022. Alternatively, they can choose to pay in installments, provided the first installment is made by December 31, 2022. The waiver does not apply to businesses that plan to retire under specific provisions of the Quezon City Revenue Code.","SP-3068, S-2021",Operative
What is the significance of changing the permit from operating electronic games (E-Games) to electronic bingo (E-Bingo) and traditional bingo?,Ano ang kahalagahan ng pagpapalit ng permit mula sa pagpapatakbo ng electronic games (E-Games) patungo sa electronic bingo (E-Bingo) at tradisyonal na bingo?,The significance of changing the permit from operating electronic games to electronic bingo and traditional bingo likely affects the type of games that can be legally offered at the establishment. This change may impact the establishment's target audience and the regulatory requirements they must follow as bingo might have different rules or appeal to different customers compared to general electronic games.,"SP-8973, S-2022",Introduction
"What does it mean for a construction project to be granted a ""Certificate of Exception"" under a zoning ordinance?","Ano ang kahulugan ng pagkakaloob ng ""Certificate of Exception"" para sa isang proyekto ng konstruksiyon sa ilalim ng zoning ordinance?","A ""Certificate of Exception"" allows a construction project to deviate from the established restrictions of a zoning ordinance. In this case, it permits the construction of a commercial complex in an area classified as a High Density Residential Zone, which typically would not allow such development without special authorization from the city council.","SP-8997, S-2022",Preamble
What is the purpose of creating the Traffic Development Trust Fund in the amended Traffic Management Code of Quezon City?,Ano ang layunin ng paglikha ng Traffic Development Trust Fund sa binagong Traffic Management Code ng Quezon City?,"The purpose of creating the Traffic Development Trust Fund is to manage and allocate the financial resources generated from franchising, supervisory, regulatory fees, fines, and surcharges related to traffic management in Quezon City. The funds are intended to support the city's traffic initiatives and operations, providing a structured way to handle receipts and incentivize traffic enforcement personnel.","SP-3027, S-2021",Operative
"What is the impact of changing the business operation type from ""Electronic Games (E-Games)"" to ""Electronic Bingo (E-Bingo) and Traditional Bingo"" in the permit?","Ano ang epekto ng pagpapalit ng uri ng operasyon ng negosyo mula sa ""Electronic Games (E-Games)"" patungo sa ""Electronic Bingo (E-Bingo) at Tradisyonal na Bingo"" sa permit?",Changing the type of business operation in the permit affects what types of gaming activities are legally allowed to be conducted at the location. This modification specifies that the establishment can only operate electronic and traditional bingo games instead of offering other electronic games. This could influence the regulatory requirements the business must meet under the Philippine Amusement and Gaming Corporation (PAGCOR) rules and might also affect the clientele and profitability due to different gaming preferences.,"SP-8977, S-2022",Operative
What is the purpose of establishing the Seal of Good Youth Governance for the Sangguniang Kabataan in Quezon City?,Ano ang layunin ng pagtatatag ng Seal of Good Youth Governance para sa Sangguniang Kabataan sa Lungsod Quezon?,"The purpose of establishing the Seal of Good Youth Governance for the Sangguniang Kabataan in Quezon City is to formalize the recognition and set a standard of excellence in the administration and implementation of SK projects and programs. It aims to ensure good governance through transparency, accountability, youth participation, and effective planning, aligning with the Local Youth Development Plan and the Philippine Youth Development Plan. The initiative also seeks to incentivize good governance practices with a cash award for SKs that achieve satisfactory ratings on various performance indicators.","SP-3010, S-2021",Preamble
What is the importance of providing healthcare and insurance coverage to barangay officials in Quezon City during the COVID-19 pandemic?,Ano ang kahalagahan ng pagbibigay ng healthcare at insurance coverage sa mga opisyal ng barangay sa Lungsod Quezon sa panahon ng pandemya ng COVID-19?,"Providing healthcare and insurance coverage to barangay officials in Quezon City is important because they are considered frontliners who play a vital role during the COVID-19 pandemic. This coverage helps in addressing their health maintenance and provides financial protection in case of health-related issues, thereby ensuring that they can carry out their duties effectively without undue financial burden or health-related concerns.","SP-3043, S-2021",Preamble
"What is the intended purpose of acquiring the land in Barangay Pasong Tamo, and who are the intended beneficiaries?","Ano ang layunin ng pagkuha ng lupang matatagpuan sa Barangay Pasong Tamo, at sino ang mga makikinabang?",The intended purpose of acquiring the land in Barangay Pasong Tamo is to develop it into a socialized housing project. The intended beneficiaries are the on-site informal settler families (ISFs) and other informal settler families in Quezon City who will be screened and pre-qualified by a Beneficiary Selection Committee.,"SP-9073, S-2022",Introduction
"What is the implication of replacing the word ""bus"" with ""UV Express Vans"" in the resolution regarding the special use permit for the transport terminal?","Ano ang magiging epekto ng pagpapalit ng salitang ""bus"" sa ""UV Express Vans"" sa resolusyon tungkol sa espesyal na pahintulot para sa terminal ng transportasyon?","Replacing the word ""bus"" with ""UV Express Vans"" in the resolution means that the special use permit granted to Sauyo Transport Corporation specifically applies to the operation of UV Express Van services at the terminal, rather than bus services. This alteration clarifies which type of vehicle service is permitted and may impact the type of transportation operations and regulations applicable to the terminal.","SP-8972, S-2022",Introduction
What are the consequences for not settling traffic fines or appearing to contest them within the prescribed period according to the amendment?,Ano ang maaaring mangyari kung hindi magbayad ng traffic fines o hindi humarap para labanan ang mga ito sa loob ng itinakdang panahon ayon sa pagbabago?,"If fines or penalties are not settled or contested within the prescribed period of five working days, a surcharge of five percent per day will be added to the amount due.","SP-2022, S-2010",Operative
What is the potential impact of installing handwashing facilities in public areas of Quezon City?,Ano ang potensyal na epekto ng paglalagay ng mga pasilidad para sa paghuhugas ng kamay sa mga pampublikong lugar ng Quezon City?,"Installing handwashing facilities in public areas of Quezon City can significantly enhance public health by promoting proper hygiene practices. This initiative can help prevent the spread of diseases such as COVID-19 by providing easy access to handwashing stations equipped with a year's supply of hand soap. The educational campaigns accompanying this effort aim to reinforce these practices among marketgoers, vendors, travelers, school children, and the general public, thereby potentially reducing infection rates and improving overall community health.","SP-8565, S-2021",Introduction
What is the significance of Quezon City congratulating the awardees and finalists of the Department of Education EdTech Awards 2022?,Ano ang kahalagahan ng pagbibigay-pugay ng Lungsod ng Quezon sa mga awardee at finalist ng Department of Education EdTech Awards 2022?,"The act of Quezon City congratulating the awardees and finalists of the Department of Education EdTech Awards 2022 highlights the city's recognition of innovative efforts in educational technology. It serves to acknowledge and commend the commitment of educators and staff who have used technology to enhance learning, especially significant during the times of the pandemic. This recognition also aims to inspire continuous innovation and excellence in the educational sector.","SP-9007, S-2022",Operative
"What is the purpose of donating equipment, furniture, and fixtures to non-governmental organizations in Quezon City?","Ano ang layunin ng pagbibigay ng kagamitan, kasangkapan, at kasangkapan sa mga non-governmental organization sa Lungsod Quezon?","The purpose of donating equipment, furniture, and fixtures to non-governmental organizations in Quezon City is to facilitate the delivery of public and social services to various sectors and stakeholders. This initiative aims to provide the necessary infrastructure to ensure proper and efficient service delivery to constituents.","SP-8971, S-2022",Preamble
